2025-12-17 16:12:51 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/cultural/essence/index.html
2025-12-17 16:12:53 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:12:53 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 4
2025-12-17 16:12:53 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/4 页: http://www.hawh.cn/hawh/audioVisual/cultural/essence/index.html?pageIndex=2
2025-12-17 16:12:55 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 0 个节目
2025-12-17 16:12:55 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/4 页: http://www.hawh.cn/hawh/audioVisual/cultural/essence/index.html?pageIndex=3
2025-12-17 16:12:57 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 0 个节目
2025-12-17 16:12:57 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 4/4 页: http://www.hawh.cn/hawh/audioVisual/cultural/essence/index.html?pageIndex=4
2025-12-17 16:12:59 | INFO     | __main__:scrape_programs_for_category:246 - 第 4 页抓取完成，新增 0 个节目
2025-12-17 16:12:59 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 0 个节目
2025-12-17 16:12:59 | INFO     | __main__:run:294 - [6/13]
2025-12-17 16:12:59 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html
2025-12-17 16:13:00 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:00 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:13:00 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 5
2025-12-17 16:13:00 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/5 页: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html?pageIndex=2
2025-12-17 16:13:02 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:02 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 0 个节目
2025-12-17 16:13:02 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/5 页: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html?pageIndex=3
2025-12-17 16:13:04 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:04 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 0 个节目
2025-12-17 16:13:04 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 4/5 页: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html?pageIndex=4
2025-12-17 16:13:06 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:06 | INFO     | __main__:scrape_programs_for_category:246 - 第 4 页抓取完成，新增 0 个节目
2025-12-17 16:13:06 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 5/5 页: http://www.hawh.cn/hawh/audioVisual/art/acrobatics/index.html?pageIndex=5
2025-12-17 16:13:08 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:08 | INFO     | __main__:scrape_programs_for_category:246 - 第 5 页抓取完成，新增 0 个节目
2025-12-17 16:13:08 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 0 个节目
2025-12-17 16:13:08 | INFO     | __main__:run:294 - [7/13]
2025-12-17 16:13:08 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/classic/share/index.html
2025-12-17 16:13:10 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:13:10 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:13:10 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 1
